species;id_method;ornamental;prev_det
Acer pseudoplatanus;Metabarcoding;TRUE;FALSE
Aegopodium podagraria;Metabarcoding;FALSE;FALSE
Allium sativum;Metabarcoding;TRUE;FALSE
Arabidopsis thaliana;Germination;FALSE;TRUE
Betula pendula;Germination;TRUE;TRUE
Brassica oleracea;Metabarcoding;TRUE;FALSE
Calystegia sepium;Metabarcoding;FALSE;FALSE
Capsella bursa-pastoris;Germination;FALSE;TRUE
Cardamine hirsuta;Both;FALSE;TRUE
Cerastium dinaricum;Metabarcoding;FALSE;FALSE
Cerastium fontanum ssp.fontanum;Germination;FALSE;FALSE
Cerastium glomeratum;Germination;FALSE;TRUE
Chamaecyparis lawsoniana;Metabarcoding;TRUE;FALSE
Chenopodium album;Germination;FALSE;TRUE
Cirsium arvense;Germination;FALSE;TRUE
Conyza canadensis;Both;FALSE;TRUE
Conyza sumatrensis;Metabarcoding;FALSE;TRUE
Crepis capillaris;Metabarcoding;FALSE;FALSE
Cucumis sativus;Metabarcoding;TRUE;FALSE
Dactylis glomerata;Metabarcoding;FALSE;FALSE
Daucus insularis;Metabarcoding;FALSE;FALSE
Digitaria sanguinalis;Germination;FALSE;TRUE
Diplotaxis tenuifolia;Metabarcoding;TRUE;FALSE
Diospyros virginiana;Metabarcoding;FALSE;FALSE
Echinochloa crus-galli;Germination;FALSE;TRUE
Epilobium ciliatum coll.;Germination;FALSE;FALSE
Epilobium ciliatum ssp. ciliatum;Germination;FALSE;TRUE
Erythranthe glaucescens;Metabarcoding;FALSE;FALSE
Euphorbia chamaesyce;Germination;FALSE;TRUE
Geranium pusillum;Both;FALSE;TRUE
Heracleum orphanidis;Metabarcoding;FALSE;FALSE
Humulus lupulus;Metabarcoding;TRUE;FALSE
Ilex perado;Metabarcoding;FALSE;FALSE
Lactuca sativa;Metabarcoding;TRUE;FALSE
Lepidium didymum;Germination;FALSE;TRUE
Lolium perenne;Metabarcoding;TRUE;FALSE
Persicaria lapathifolia ssp. lapathifolia;Germination;FALSE;TRUE
Phaseolus vulgaris;Metabarcoding;TRUE;FALSE
Poa annua;Germination;FALSE;TRUE
Poa infirma;Metabarcoding;FALSE;FALSE
Polygonum aviculare;Germination;FALSE;FALSE
Portulaca oleracea;Metabarcoding;TRUE;FALSE
Portulaca oleracea ssp. oleracea;Germination;TRUE;TRUE
Primula dongchuanensis;Metabarcoding;FALSE;FALSE
Raphanus sativus;Metabarcoding;TRUE;FALSE
Rorippa palustris;Germination;FALSE;TRUE
Sagina procumbens;Germination;FALSE;TRUE
Senecio vulgaris;Both;FALSE;TRUE
Solanum nigrum ssp. nigrum;Germination;FALSE;TRUE
Sonchus arvensis;Germination;FALSE;TRUE
Sonchus asper;Germination;FALSE;TRUE
Sonchus oleraceus;Germination;FALSE;TRUE
Stellaria media;Both;FALSE;TRUE
Tagetes erecta;Metabarcoding;TRUE;FALSE
Taraxacum sinicum;Metabarcoding;FALSE;FALSE
Tripleurospermum inodorum;Germination;FALSE;FALSE
Urtica urens;Germination;FALSE;TRUE
Viola lutea;Metabarcoding;TRUE;FALSE
